Date,Day_of_Week,Month,Product_ID,Product_Category,Product_Price,Historical_Sales_Quantity,Historical_Sales_Revenue,Current_Inventory_Level,Reorder_Point,Lead_Time,Promotion_Type,Customer_Segmentation,Economic_Indicator,Supplier_Performance,Customer_Rating,Stock_Available,Sales_Quantity,Promotion_Flag,Sales_Revenue,Year
2010-01-02,5,1,3181,Clothing,0.1909022106573873,0.39491916859122406,0.0952998540620276,0.15540540540540543,0.10924494213494344,0.2222222222222222,Discount,Segment1,0.10999999999999999,0.012500000000000011,0.37,0.9175824175824177,0.9325842696629214,1,0.370993733213966,2010
2010-01-04,0,1,4387,Electronics,0.32439887509750254,0.8614318706697459,0.06432206137282637,0.8581081081081081,0.7246563616997195,0.8888888888888888,Bundle,Segment2,0.505,0.7749999999999999,0.9199999999999999,0.40659340659340665,0.5056179775280899,1,0.07609668755595345,2010
2010-01-05,1,1,8812,Toys,0.2509876209344997,0.2378752886836028,0.4064527668022072,0.8581081081081081,0.098124632163253,0.2222222222222222,Discount,Segment2,0.21999999999999997,0.6,0.24,0.631868131868132,0.6966292134831461,1,0.17976723366159356,2010
2010-01-06,2,1,8741,Toys,0.14082737264481063,0.5150115473441108,0.7580406196551409,0.11486486486486489,0.19133274799868283,0.3333333333333333,Bundle,Segment1,0.11499999999999999,0.8375,0.4675,0.2472527472527473,0.4044943820224719,1,0.5213965980304387,2010
2010-01-07,3,1,4780,Books,0.09210439422828716,0.14087759815242495,0.040600487250526125,0.42905405405405406,0.26878014598919364,0.2222222222222222,Bundle,Segment3,0.30000000000000004,0.024999999999999994,0.08000000000000002,0.3461538461538462,0.2696629213483146,1,0.0829006266786034,2010
2010-01-09,5,1,1965,Furniture,0.030529433443757515,0.24942263279445726,0.11107397045101956,0.875,0.2795772314057331,0.5555555555555556,Discount,Segment3,0.4,0.525,0.22249999999999998,0.015109890109890112,0.056179775280898875,1,0.05622202327663384,2010
2010-01-10,6,1,4767,Electronics,0.48626592606959007,0.20554272517321015,0.5667274936907994,0.29054054054054057,0.9420643818961991,1.0,Bundle,Segment3,0.855,0.7125,0.14250000000000002,0.5920329670329672,0.5168539325842697,1,0.18943598925693822,2010
2010-01-11,0,1,7995,Books,0.04221609205766119,0.7043879907621247,0.015367545673014276,0.5067567567567568,0.06880714493031787,0.0,Discount,Segment1,0.10499999999999998,0.037500000000000006,0.7025,0.2527472527472528,0.33707865168539325,1,0.07179946284691137,2010
2010-01-12,1,1,8552,Clothing,0.00219627915964178,0.8314087759815243,0.1559519309764735,0.4628378378378379,0.1409960727743318,0.2222222222222222,Discount,Segment3,0.10999999999999999,0.125,0.875,0.012362637362637364,0.0449438202247191,1,0.5427036705461057,2010
2010-01-13,2,1,7648,Toys,0.04048461337454007,0.20554272517321015,0.11725784439010328,0.6554054054054055,0.03730109216196542,0.1111111111111111,Bundle,Segment2,0.845,0.05000000000000002,0.22249999999999998,0.01785714285714286,0.011235955056179775,1,0.21718889883616832,2010
2010-01-14,3,1,7985,Books,0.11911426729965616,0.4803695150115474,0.30166995531583285,0.543918918918919,0.7338067459536306,1.0,Bundle,Segment3,0.14,0.6124999999999999,0.5075,0.2843406593406594,0.4269662921348315,1,0.19427036705461057,2010
2010-01-15,4,1,7244,Furniture,0.47370556373564726,0.7043879907621247,0.07165439990644969,0.6452702702702704,0.21452986720882972,0.2222222222222222,Bundle,Segment1,0.33499999999999996,0.7250000000000001,0.7625,0.6030219780219781,0.6404494382022472,1,0.07305282005371531,2010
2010-01-18,0,1,8142,Books,0.0738205700123593,0.2378752886836028,0.0409432339485123,0.47635135135135137,0.30814950961962595,0.3333333333333333,Discount,Segment3,0.845,0.5125,0.1775,0.07005494505494506,0.19101123595505617,1,0.020232766338406448,2010
2010-01-19,1,1,4509,Furniture,0.333680552004069,0.836027713625866,0.5244054357194693,0.5371621621621622,0.40789326499635625,0.7777777777777777,Discount,Segment2,0.185,0.65,0.8574999999999999,0.6634615384615385,0.6404494382022472,1,0.5774395702775291,2010
2010-01-20,2,1,3728,Electronics,0.30352751280701384,0.7990762124711317,0.6059128666324405,0.6587837837837838,0.7908856719145106,0.7777777777777777,Discount,Segment3,0.385,0.875,0.8700000000000001,0.5013736263736265,0.5280898876404494,1,0.48325872873769027,2010
2010-01-21,3,1,2123,Toys,0.2671878453877324,0.6558891454965359,0.23587660898234916,0.3648648648648649,0.3685247396681038,0.3333333333333333,Discount,Segment1,0.22499999999999998,0.32499999999999996,0.6625,0.8928571428571429,0.9438202247191011,1,0.3394807520143241,2010
2010-01-22,4,1,9784,Clothing,0.4209306168320468,0.8568129330254042,0.10352074151879469,0.38513513513513514,0.4925228341221276,0.6666666666666665,Discount,Segment1,0.8200000000000001,0.0625,0.9325000000000001,0.701923076923077,0.6966292134831461,1,0.6042972247090421,2010
2010-01-23,5,1,2671,Books,0.12322712229296097,0.25635103926096997,0.038762300372974054,0.8918918918918919,0.165596735300596,0.2222222222222222,Bundle,Segment1,0.8400000000000001,0.09999999999999998,0.2,0.17582417582417584,0.24719101123595505,1,0.058370635631154875,2010
2010-01-24,6,1,3688,Clothing,0.3964463692434401,0.7090069284064666,0.11667936022271161,0.31081081081081086,0.1745650731020592,0.2222222222222222,Bundle,Segment2,0.59,0.09999999999999998,0.72,0.690934065934066,0.6292134831460674,1,0.41647269471799464,2010
2010-01-25,0,1,4439,Clothing,0.17776864109201043,0.8683602771362586,0.5889881252392254,0.19932432432432434,0.19872700711717062,0.4444444444444445,Discount,Segment3,0.7749999999999999,0.875,0.9375,0.12225274725274726,0.1348314606741573,1,0.5013428827215757,2010
2010-01-26,1,1,5450,Furniture,0.19521242153784232,0.15935334872979218,0.5181591167472984,0.5641891891891893,0.10741926171015355,0.3333333333333333,Discount,Segment2,0.79,0.4624999999999999,0.10749999999999998,0.19505494505494506,0.2247191011235955,1,0.26911369740376007,2010
2010-01-28,3,1,8101,Furniture,0.5523721241671687,0.39491916859122406,0.009330901355555952,0.7364864864864865,0.15938468482170304,0.3333333333333333,Discount,Segment3,0.715,0.375,0.39749999999999996,0.5343406593406594,0.4382022471910112,1,0.010922112802148613,2010
2010-01-29,4,1,6004,Furniture,0.09442329332815709,0.8013856812933025,0.3038019119441835,0.0033783783783783994,0.6788969635291087,0.8888888888888888,Bundle,Segment3,0.96,0.38749999999999996,0.8474999999999999,0.06318681318681318,0.2247191011235955,1,0.44028648164726947,2010
2010-01-30,5,1,7306,Furniture,0.18634997387879304,0.9353348729792148,0.0120876300779223,0.38851351351351354,0.054152764547049884,0.1111111111111111,Bundle,Segment1,0.97,0.6124999999999999,0.9550000000000001,0.10714285714285715,0.15730337078651685,1,0.01880035810205909,2010
2010-01-31,6,1,8271,Clothing,0.10678192398145699,0.8152424942263281,0.19466936837389143,0.20270270270270271,0.08310820413000923,0.1111111111111111,Discount,Segment2,0.545,0.7000000000000001,0.7975000000000001,0.10714285714285715,0.12359550561797752,1,0.2243509400179051,2010
2010-02-02,1,2,7152,Toys,0.06703185757906219,0.5542725173210161,0.7280401825169263,0.5844594594594594,0.5121773660833518,0.6666666666666665,Discount,Segment2,0.275,0.8875000000000002,0.515,0.09478021978021979,0.06741573033707865,1,0.41217547000895255,2010
2010-02-03,2,2,6125,Electronics,0.14840304927875303,0.048498845265588925,0.8024577464086294,0.5574324324324325,0.03865287355847365,0.1111111111111111,Bundle,Segment3,0.16499999999999998,0.8,0.012500000000000011,0.440934065934066,0.5168539325842697,1,0.16991942703670546,2010
